time_s,target,trust_median,n_observers,agreement,loc_available,beh_available,bad_streak,verdict,is_attacker
285.0,1,0.877742578263259,11,0.0,True,True,0,normal,0
285.0,2,0.7851543174459472,9,0.1111111111111111,True,False,0,normal,0
290.0,0,0.7362071603316167,3,0.3333333333333333,True,False,0,normal,0
290.0,1,0.8746635872861623,12,0.0,True,True,0,normal,0
290.0,2,0.7998068128410892,8,0.375,True,False,0,normal,0
295.0,0,0.7567020453144457,3,0.3333333333333333,True,False,0,normal,0
295.0,1,0.6255205317062063,13,0.23076923076923078,True,True,0,suspicious,0
295.0,2,0.5717665617277745,10,0.5,True,False,0,suspicious,0
300.0,0,0.6239642879798604,2,0.5,True,False,0,suspicious,0
300.0,1,0.8631266749078484,12,0.08333333333333333,True,True,0,normal,0
300.0,2,0.3876388131962766,11,0.6363636363636364,True,False,0,suspicious,0
305.0,0,0.5799835514483133,2,0.5,True,False,0,suspicious,0
305.0,1,0.720834727971575,13,0.15384615384615385,True,True,0,normal,0
305.0,2,0.6778511297346439,12,0.25,True,False,0,suspicious,0
310.0,0,0.7135245588713178,2,0.0,True,False,0,normal,0
310.0,1,0.8829367318165178,12,0.08333333333333333,True,True,0,normal,0
310.0,2,0.6822373180210136,11,0.36363636363636365,True,False,0,suspicious,0
315.0,0,0.8063324587288639,1,0.0,True,False,0,normal,0
315.0,1,0.893045559785796,12,0.08333333333333333,True,True,0,normal,0
315.0,2,0.8428410038815717,12,0.08333333333333333,True,True,0,normal,0
320.0,0,0.739197413469317,1,0.0,True,False,0,normal,0
320.0,1,0.899074490938923,12,0.08333333333333333,True,True,0,normal,0
320.0,2,0.8670887714451117,12,0.0,True,True,0,normal,0
325.0,0,0.5863573316489423,3,0.3333333333333333,True,True,0,suspicious,0
325.0,1,0.2685030409179857,12,1.0,True,True,1,suspicious,0
325.0,2,0.8708611775826662,12,0.0,True,False,0,normal,0
330.0,0,0.638671479056359,4,0.5,True,False,0,suspicious,0
330.0,1,0.7867603597518638,12,0.08333333333333333,True,True,0,normal,0
330.0,2,0.8189073058907943,12,0.08333333333333333,True,True,0,normal,0
335.0,0,0.7160589883275108,4,0.0,True,False,0,normal,0
335.0,1,0.8496387784245771,12,0.0,True,True,0,normal,0
335.0,2,0.18731079051013977,12,1.0,True,True,1,suspicious,0
340.0,0,0.6172866385290445,4,0.5,True,False,0,suspicious,0
340.0,1,0.8501413711173503,12,0.08333333333333333,True,True,0,normal,0
340.0,2,0.7797763961850829,14,0.07142857142857142,True,True,0,normal,0
345.0,0,0.8297571547316986,4,0.0,True,False,0,normal,0
345.0,1,0.176266337742878,11,1.0,True,True,1,suspicious,0
345.0,2,0.7966140646685764,13,0.07692307692307693,True,True,0,normal,0
350.0,0,0.8711062866301729,4,0.0,True,False,0,normal,0
350.0,1,0.22040337722968087,9,1.0,True,True,2,suspicious,0
350.0,2,0.8043433905162695,13,0.0,True,True,0,normal,0
355.0,0,0.8289873772890215,4,0.25,True,False,0,normal,0
355.0,1,0.7614506474375566,9,0.1111111111111111,True,False,0,normal,0
355.0,2,0.7940772543087034,12,0.08333333333333333,True,True,0,normal,0
360.0,0,0.7018269708071307,4,0.25,True,True,0,normal,0
360.0,1,0.7772408717697395,9,0.0,True,True,0,normal,0
360.0,2,0.775345364507854,11,0.09090909090909091,True,True,0,normal,0
365.0,0,0.8510006203531766,5,0.0,True,True,0,normal,0
365.0,1,0.7750751336225823,8,0.125,True,False,0,normal,0
365.0,2,0.8363459899272669,9,0.0,True,True,0,normal,0
370.0,0,0.8678964444606221,5,0.0,True,True,0,normal,0
370.0,1,0.1379269461213833,9,1.0,True,True,1,suspicious,0
370.0,2,0.6343943506696298,6,0.16666666666666666,True,True,0,suspicious,0
375.0,0,0.8769097179658202,7,0.0,True,True,0,normal,0
375.0,1,0.08841766016984433,9,1.0,True,True,2,suspicious,0
375.0,2,0.8561097550126706,5,0.0,True,True,0,normal,0
380.0,0,0.1927520375177864,7,1.0,True,True,1,suspicious,0
380.0,1,0.7345758512980504,10,0.1,True,True,0,normal,0
380.0,2,0.8661137380619506,6,0.0,True,True,0,normal,0
385.0,0,0.7452474319990376,7,0.14285714285714285,True,True,0,normal,0
385.0,1,0.7406295738645212,9,0.0,True,True,0,normal,0
385.0,2,0.8706388481101118,6,0.0,True,True,0,normal,0
390.0,0,0.5841204132583491,6,0.3333333333333333,True,True,0,suspicious,0
390.0,1,0.7122098468830707,9,0.0,True,True,0,normal,0
390.0,2,0.8401522705146243,8,0.125,True,True,0,normal,0
395.0,0,0.24125103917267363,6,1.0,True,True,1,suspicious,0
395.0,1,0.4401723981174138,8,0.5,True,True,0,suspicious,0
395.0,2,0.8861164332415281,9,0.0,True,True,0,normal,0
400.0,0,0.7635021470307908,6,0.0,True,False,0,normal,0
400.0,1,0.8039137795610378,6,0.16666666666666666,True,False,0,normal,0
400.0,2,0.8061821913063351,9,0.1111111111111111,True,False,0,normal,0
